key,L/S,TOS 15min,TOS 1hr,TOS 1day,,Profit,Orders,wincnt,losscnt,wins$,loss$,ratio,,,,,,,,,,,,,,,17,172,18,182,19,192,201,220,211,Rank
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:OCCIA1d:USpread:H,,,,,,5112.5,18,8,10,6625,-1512.5,4.380165289,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:USpread:O,,,,,,5037.5,13,10,3,5650,-612.5,9.224489796,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:ILCCIA1d:OSpread:O,,,,,,4850,19,16,3,5425,-575,9.434782609,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:IUSpread:H,,,,,,4825,28,13,15,7075,-2250,3.144444444,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:UCCIA15:UCCIA1h:ILCCIA1d:OSpread:O,,,,,,4625,66,35,31,6775,-2150,3.151162791,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:IUCCIA1h:OCCIA1d:USpread:O,,,,,,4600,6,2,4,5787.5,-1187.5,4.873684211,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:ILCCIA1d:USpread:O,,,,,,4575,21,14,7,6887.5,-2312.5,2.978378378,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:IUSpread:A,,,,,,4575,35,17,18,8912.5,-4337.5,2.054755043,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:OCCIA15:OCCIA1h:ILCCIA1d:IUSpread:H,,,,,,4512.5,32,14,18,7400,-2887.5,2.562770563,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:ILCCIA1d:IUSpread:H,,,,,,4462.5,20,11,9,6662.5,-2200,3.028409091,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:IUSpread:O,,,,,,4437.5,14,10,4,5237.5,-800,6.546875,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:ACCI15:OCCIA15:OCCIA1h:IUCCIA1d:OSpread:O,,,,,,4387.5,52,23,29,6387.5,-2000,3.19375,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:ILSpread:H,,,,,,4337.5,26,13,13,8112.5,-3775,2.149006623,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:USpread:H,,,,,,4300,16,4,12,6237.5,-1937.5,3.219354839,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:UCCIA1h:ILCCIA1d:ILSpread:O,,,,,,4250,26,15,11,6387.5,-2137.5,2.988304094,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:UCCIA15:UCCIA1h:ILCCIA1d:IUSpread:O,,,,,,4250,80,41,39,7837.5,-3587.5,2.18466899,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:USpread:O,,,,,,4250,13,8,5,4975,-725,6.862068966,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:USpread:H,,,,,,4225,21,9,12,6262.5,-2037.5,3.073619632,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:USpread:O,,,,,,4200,20,13,7,5650,-1450,3.896551724,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:ILCCIA1h:UCCIA1d:IUSpread:O,,,,,,4075,4,4,,4075,,0,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:ILSpread:O,,,,,,3962.5,9,6,3,4875,-912.5,5.342465753,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:OCCIA1d:IUSpread:H,,,,,,3950,9,7,2,4462.5,-512.5,8.707317073,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:USpread:O,,,,,,3900,5,5,,3900,,0,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:ILSpread:H,,,,,,3887.5,16,11,5,4887.5,-1000,4.8875,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:OSpread:O,,,,,,3850,15,10,5,4550,-700,6.5,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:OCCIA15:IUCCIA1h:IUCCIA1d:USpread:O,,,,,,3837.5,12,8,4,4550,-712.5,6.385964912,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:UCCIA1h:UCCIA1d:USpread:M,,,,,,3825,13,7,6,5762.5,-1937.5,2.974193548,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:IUCCIA1d:USpread:O,,,,,,3750,28,16,12,7362.5,-3612.5,2.038062284,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:OSpread:O,,,,,,3725,25,17,8,4375,-650,6.730769231,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:OCCIA15:IUCCIA1h:OCCIA1d:USpread:O,,,,,,3712.5,10,8,2,4050,-337.5,12,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:UCCIA1h:IUCCIA1d:ILSpread:O,,,,,,3662.5,20,8,12,5950,-2287.5,2.601092896,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:ILCCIA1h:ILCCIA1d:USpread:O,,,,,,3662.5,9,6,3,4600,-937.5,4.906666667,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:ACCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:IUSpread:O,,,,,,3637.5,25,18,7,4050,-412.5,9.818181818,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:OCCIA15:IUCCIA1h:OCCIA1d:IUSpread:O,,,,,,3625,35,22,13,4587.5,-962.5,4.766233766,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:USpread:A,,,,,,3625,39,16,23,9987.5,-6362.5,1.569744597,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:OSpread:H,,,,,,3612.5,16,11,5,4900,-1287.5,3.805825243,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:ILCCIA1h:ILCCIA1d:ILSpread:O,,,,,,3575,15,11,4,4587.5,-1012.5,4.530864198,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:OCCIA1h:IUCCIA1d:ILSpread:O,,,,,,3575,15,10,5,4612.5,-1037.5,4.445783133,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:OCCIA15:IUCCIA1h:IUCCIA1d:USpread:A,,,,,,3537.5,9,5,4,5137.5,-1600,3.2109375,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:ILCCIA1h:IUCCIA1d:ILSpread:O,,,,,,3512.5,15,8,7,4425,-912.5,4.849315068,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:UCCIA1h:OCCIA1d:USpread:O,,,,,,3500,4,3,1,3737.5,-237.5,15.73684211,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:UCCIA1d:ILSpread:H,,,,,,3462.5,6,4,2,4200,-737.5,5.694915254,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:OCCIA1h:IUCCIA1d:USpread:A,,,,,,3437.5,8,6,2,4400,-962.5,4.571428571,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:ILCCIA1d:ILSpread:O,,,,,,3425,16,8,8,5250,-1825,2.876712329,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:ILSpread:A,,,,,,3425,27,10,17,7237.5,-3812.5,1.898360656,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:IUCCIA15:ILCCIA1h:IUCCIA1d:IUSpread:O,,,,,,3400,77,42,35,5600,-2200,2.545454545,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:ILCCIA1h:ILCCIA1d:USpread:O,,,,,,3375,22,10,12,6112.5,-2737.5,2.232876712,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:OCCIA1d:IUSpread:O,,,,,,3362.5,6,5,1,3587.5,-225,15.94444444,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:IUCCIA1d:OSpread:H,,,,,,3300,33,17,16,7087.5,-3787.5,1.871287129,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:IUCCIA1h:IUCCIA1d:IUSpread:O,,,,,,3300,16,9,7,4437.5,-1137.5,3.901098901,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:IUSpread:O,,,,,,3275,17,9,8,4800,-1525,3.147540984,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:ILCCIA1d:ILSpread:O,,,,,,3262.5,21,12,9,4737.5,-1475,3.211864407,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:OSpread:O,,,,,,3250,15,6,9,4650,-1400,3.321428571,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:ILCCIA1h:ILCCIA1d:ILSpread:O,,,,,,3225,31,13,18,6637.5,-3412.5,1.945054945,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:IUCCIA1h:IUCCIA1d:USpread:O,,,,,,3225,14,9,5,4437.5,-1212.5,3.659793814,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:OCCIA1d:OSpread:O,,,,,,3212.5,6,6,,3212.5,,0,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:IUSpread:H,,,,,,3175,21,10,11,5687.5,-2512.5,2.263681592,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:IUSpread:M,,,,,,3125,12,7,5,3412.5,-287.5,11.86956522,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:IUCCIA1h:ILCCIA1d:USpread:O,,,,,,3050,21,11,10,5125,-2075,2.469879518,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:OCCIA15:IUCCIA1h:ILCCIA1d:ILSpread:M,,,,,,3012.5,8,2,6,3837.5,-825,4.651515152,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:IUSpread:O,,,,,,3000,30,21,9,3900,-900,4.333333333,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:OSpread:O,,,,,,2962.5,11,7,4,3537.5,-575,6.152173913,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:ACCI15:OCCIA15:OCCIA1h:IUCCIA1d:IUSpread:O,,,,,,2925,86,39,47,6437.5,-3512.5,1.832740214,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:IUCCIA1h:UCCIA1d:USpread:O,,,,,,2925,10,8,2,3500,-575,6.086956522,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:UCCIA15:UCCIA1h:IUCCIA1d:IUSpread:O,,,,,,2887.5,78,37,41,6250,-3362.5,1.858736059,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:ILCCIA1d:IUSpread:H,,,,,,2875,4,3,1,3087.5,-212.5,14.52941176,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:ILCCIA1h:IUCCIA1d:USpread:O,,,,,,2875,11,6,5,4587.5,-1712.5,2.678832117,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:IUSpread:H,,,,,,2862.5,10,8,2,3125,-262.5,11.9047619,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:ILSpread:O,,,,,,2862.5,8,8,,2862.5,,0,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:OCCIA1d:IUSpread:H,,,,,,2850,22,13,9,4825,-1975,2.443037975,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:ACCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:IUSpread:O,,,,,,2850,40,22,18,4012.5,-1162.5,3.451612903,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:ILCCIA1d:OSpread:A,,,,,,2837.5,10,4,6,3975,-1137.5,3.494505495,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:HATRD:HCCI15:IUCCIA15:OCCIA1h:ILCCIA1d:ILSpread:H,,,,,,2837.5,4,2,2,3175,-337.5,9.407407407,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:USpread:O,,,,,,2825,18,6,12,4500,-1675,2.686567164,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:UCCIA1d:IUSpread:O,,,,,,2812.5,17,6,11,4625,-1812.5,2.551724138,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:IUSpread:O,,,,,,2800,12,8,4,3812.5,-1012.5,3.765432099,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:IUSpread:A,,,,,,2800,20,9,11,5462.5,-2662.5,2.051643192,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:USpread:O,,,,,,2737.5,9,7,2,2787.5,-50,55.75,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:ILCCIA1d:USpread:H,,,,,,2737.5,34,15,19,8312.5,-5575,1.49103139,N,N,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:OCCIA1d:USpread:H,,,,,,2687.5,1,1,,2687.5,,0,N,N,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:ACCI15:OCCIA15:OCCIA1h:ILCCIA1d:OSpread:O,,,,,,2675,31,15,16,3975,-1300,3.057692308,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:IUSpread:O,,,,,,2675,13,8,5,3312.5,-637.5,5.196078431,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:OCCIA15:ILCCIA1h:ILCCIA1d:USpread:O,,,,,,2662.5,7,2,5,5025,-2362.5,2.126984127,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:UCCIA1h:UCCIA1d:IUSpread:O,,,,,,2650,11,7,4,4000,-1350,2.962962963,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:ILCCIA15:UCCIA1h:ILCCIA1d:OSpread:O,,,,,,2650,38,23,15,3725,-1075,3.465116279,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:ACCI15:OCCIA15:OCCIA1h:ILCCIA1d:IUSpread:O,,,,,,2625,49,22,27,4750,-2125,2.235294118,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:OCCIA1d:ILSpread:H,,,,,,2587.5,16,6,10,3562.5,-975,3.653846154,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:ILCCIA1h:IUCCIA1d:ILSpread:O,,,,,,2587.5,10,7,3,3112.5,-525,5.928571429,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:OSpread:O,,,,,,2562.5,6,6,,2562.5,,0,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:OCCIA1h:OCCIA1d:IUSpread:A,,,,,,2550,5,2,3,3350,-800,4.1875,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:HATRD:HCCI15:OCCIA15:OCCIA1h:IUCCIA1d:OSpread:A,,,,,,2550,19,10,9,4437.5,-1887.5,2.350993377,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:OCCIA15:IUCCIA1h:IUCCIA1d:ILSpread:O,,,,,,2550,23,14,9,5050,-2500,2.02,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:ACCI15:UCCIA15:UCCIA1h:UCCIA1d:ILSpread:M,,,,,,2537.5,3,1,2,2825,-287.5,9.826086957,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:UCCIA1h:ILCCIA1d:IUSpread:O,,,,,,2512.5,15,8,7,3637.5,-1125,3.233333333,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:OSpread:H,,,,,,2500,18,9,9,4212.5,-1712.5,2.459854015,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:IUCCIA1d:ILSpread:H,,,,,,2487.5,18,7,11,4625,-2137.5,2.16374269,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:OCCIA1d:IUSpread:A,,,,,,2487.5,17,9,8,4425,-1937.5,2.283870968,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:AATR1:AATRD:ACCI15:ILCCIA15:ILCCIA1h:UCCIA1d:IUSpread:O,,,,,,2487.5,24,17,7,2725,-237.5,11.47368421,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:ILCCIA1d:ILSpread:H,,,,,,2475,10,5,5,3312.5,-837.5,3.955223881,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:ILCCIA1h:UCCIA1d:ILSpread:O,,,,,,2475,9,4,5,2787.5,-312.5,8.92,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:UCCIA1d:IUSpread:M,,,,,,2475,23,9,14,5750,-3275,1.755725191,Y,Y,,,,,,,,,,,,,,,,,,,,,,
