ATR,Daily,Hourly,15 min.,key,Long,Short,L%,Order,Profit,Wins,Losses,,Long,Short,L%,Order,Profit,Wins,Losses,,Rank,Sum
,U,O,IU,CCIA15:IUCCIA1h:OCCIA1d:U,17,11,0.607142857,28,8526.885862,22,6,0.785714286,21,7,0.75,28,11926.9129,25,3,0.892857143,48.45355474,20453.79876
,IU,U,U,CCIA15:UCCIA1h:UCCIA1d:IU,25,15,0.625,40,3814.961755,24,16,0.6,15,7,0.681818182,22,7967.136143,21,1,0.954545455,27.91092902,11782.0979
,IL,IL,U,CCIA15:UCCIA1h:ILCCIA1d:IL,24,8,0.75,32,6663.756698,18,14,0.5625,15,4,0.789473684,19,10857.19449,18,1,0.947368421,41.50585314,17520.95119
,IU,IU,O,CCIA15:OCCIA1h:IUCCIA1d:IU,38,25,0.603174603,63,7059.022698,35,28,0.555555556,10,56,0.151515152,66,13814.46081,48,18,0.727272727,49.44775723,20873.48351
,O,IL,IL,CCIA15:ILCCIA1h:ILCCIA1d:O,83,35,0.703389831,118,9196.675906,55,63,0.466101695,25,21,0.543478261,46,12440.92989,35,11,0.760869565,51.2579071,21637.6058
,IU,IU,IL,CCIA15:ILCCIA1h:IUCCIA1d:IU,92,53,0.634482759,145,10611.70422,61,84,0.420689655,42,27,0.608695652,69,20470.20602,52,17,0.753623188,73.63077424,31081.91024
,O,IL,U,CCIA15:UCCIA1h:ILCCIA1d:O,69,16,0.811764706,85,7052.509352,43,42,0.505882353,42,6,0.875,48,14022.63002,39,9,0.8125,49.92546524,21075.13937
,IU,U,IL,CCIA15:ILCCIA1h:UCCIA1d:IU,41,19,0.683333333,60,7633.577904,30,30,0.5,14,16,0.466666667,30,12939.75835,28,2,0.933333333,48.73673032,20573.33626
,IL,IL,O,CCIA15:OCCIA1h:ILCCIA1d:IL,2,12,0.142857143,14,5250.052277,6,8,0.428571429,3,11,0.214285714,14,8953.260286,13,1,0.928571429,33.64660965,14203.31256
,U,IL,IU,CCIA15:IUCCIA1h:ILCCIA1d:U,4,20,0.166666667,24,8633.140405,11,13,0.458333333,12,11,0.52173913,23,14134.10698,19,4,0.826086957,53.93394547,22767.24738
,O,IL,IU,CCIA15:IUCCIA1h:ILCCIA1d:O,70,47,0.598290598,117,5933.356574,52,64,0.448275862,37,38,0.493333333,75,12620.38966,50,25,0.666666667,43.95246913,18553.74623
,U,IU,O,CCIA15:OCCIA1h:IUCCIA1d:U,1,28,0.034482759,29,16634.19764,16,13,0.551724138,3,17,0.15,20,20152.74838,16,4,0.8,87.14558715,36786.94602
,IU,IU,IU,CCIA15:IUCCIA1h:IUCCIA1d:IU,124,67,0.64921466,191,9893.780597,81,110,0.42408377,41,17,0.706896552,58,15358.53788,40,18,0.689655172,59.82089732,25252.31848
,U,IU,U,CCIA15:UCCIA1h:IUCCIA1d:U,20,1,0.952380952,21,4117.781607,13,8,0.619047619,11,1,0.916666667,12,5908.874742,11,1,0.916666667,23.75241625,10026.65635
,O,U,IL,CCIA15:ILCCIA1h:UCCIA1d:O,38,15,0.716981132,53,5522.602588,28,25,0.528301887,26,17,0.604651163,43,10412.79828,31,12,0.720930233,37.74980028,15935.40087
,O,U,U,CCIA15:UCCIA1h:UCCIA1d:O,46,0,1,46,5123.215419,19,26,0.422222222,18,2,0.9,20,8401.706576,16,4,0.8,32.03955196,13524.922
,O,O,IU,CCIA15:IUCCIA1h:OCCIA1d:O,139,24,0.852760736,163,5726.494004,70,93,0.429447853,33,14,0.70212766,47,11402.33053,34,13,0.723404255,40.57693375,17128.82454
,O,IL,O,CCIA15:OCCIA1h:ILCCIA1d:O,11,31,0.261904762,42,4317.524303,23,19,0.547619048,12,42,0.222222222,54,10517.91729,34,20,0.62962963,35.14407712,14835.44159
,U,IL,IL,CCIA15:ILCCIA1h:ILCCIA1d:U,16,11,0.592592593,27,17976.84161,17,10,0.62962963,14,10,0.583333333,24,24236.36415,21,3,0.875,100,42213.20577
,U,U,U,CCIA15:UCCIA1h:UCCIA1d:U,8,0,1,8,5787.18686,8,0,1,6,1,0.857142857,7,6996.881855,7,0,1,30.28452467,12784.06871
,O,O,O,CCIA15:OCCIA1h:OCCIA1d:O,42,112,0.272727273,154,4785.848567,73,81,0.474025974,6,47,0.113207547,53,8884.871234,34,19,0.641509434,32.38493631,13670.7198
,IU,IU,U,CCIA15:UCCIA1h:IUCCIA1d:IU,86,3,0.966292135,89,5939.852017,38,51,0.426966292,36,6,0.857142857,42,12747.19417,32,10,0.761904762,44.26824697,18687.04618
,IL,U,U,CCIA15:UCCIA1h:UCCIA1d:IL,16,0,1,16,2527.700272,12,4,0.75,12,0,1,12,4896.749733,12,0,1,17.58797957,7424.450006
,U,IL,O,CCIA15:OCCIA1h:ILCCIA1d:U,5,24,0.172413793,29,15302.01212,14,15,0.482758621,5,21,0.192307692,26,18645.24527,18,8,0.692307692,80.41857228,33947.25739
,IU,O,O,CCIA15:OCCIA1h:OCCIA1d:IU,31,2,0.939393939,33,4647.143227,22,11,0.666666667,10,32,0.238095238,42,9260.569066,30,12,0.714285714,32.9463542,13907.71229
,U,IU,IU,CCIA15:IUCCIA1h:IUCCIA1d:U,4,15,0.210526316,19,4805.408022,13,6,0.684210526,6,6,0.5,12,7026.06228,12,0,1,28.02788864,11831.4703
,IL,O,O,CCIA15:OCCIA1h:OCCIA1d:IL,4,35,0.102564103,39,5659.324797,22,17,0.564102564,2,21,0.086956522,23,8336.728149,18,5,0.782608696,33.15562676,13996.05295
,IU,IL,IL,CCIA15:ILCCIA1h:ILCCIA1d:IU,43,23,0.651515152,66,9588.878395,33,33,0.5,25,12,0.675675676,37,16095.58409,31,6,0.837837838,60.84461489,25684.46248
,IL,U,IL,CCIA15:ILCCIA1h:UCCIA1d:IL,19,13,0.59375,32,4293.01974,16,16,0.5,11,8,0.578947368,19,8263.609368,17,2,0.894736842,29.74573686,12556.62911
,U,O,U,CCIA15:UCCIA1h:OCCIA1d:U,5,0,1,5,3638.650267,5,0,1,6,0,1,6,4213.650267,6,0,1,18.60152621,7852.300534
,IL,O,IU,CCIA15:IUCCIA1h:OCCIA1d:IL,26,1,0.962962963,27,4916.466498,19,8,0.703703704,20,3,0.869565217,23,6960.616853,20,3,0.869565217,28.13594262,11877.08335
,U,IL,U,CCIA15:UCCIA1h:ILCCIA1d:U,24,2,0.923076923,26,3720.135875,10,16,0.384615385,17,4,0.80952381,21,10478.26919,14,7,0.666666667,33.63498415,14198.40507
,IU,U,IU,CCIA15:IUCCIA1h:UCCIA1d:IU,1,17,0.055555556,18,4986.868888,11,7,0.611111111,4,16,0.2,20,8458.857664,18,2,0.9,31.85194374,13445.72655
,IL,IL,IL,CCIA15:ILCCIA1h:ILCCIA1d:IL,7,11,0.388888889,18,2615.536511,12,6,0.666666667,5,6,0.454545455,11,4951.787007,10,1,0.909090909,17.92643648,7567.323519
,U,O,O,CCIA15:OCCIA1h:OCCIA1d:U,3,19,0.136363636,22,3053.573129,10,12,0.454545455,3,15,0.166666667,18,6249.00238,12,6,0.666666667,22.03712165,9302.575509
,IL,U,O,CCIA15:OCCIA1h:UCCIA1d:IL,0,8,0,8,2532.37236,5,3,0.625,0,6,0,6,3475.331379,6,0,1,14.23181118,6007.703739
,IL,O,IL,CCIA15:ILCCIA1h:OCCIA1d:IL,9,6,0.6,15,4353.543207,7,8,0.466666667,5,4,0.555555556,9,5747.204304,8,1,0.888888889,23.92793281,10100.74751
,IU,O,IU,CCIA15:IUCCIA1h:OCCIA1d:IU,64,11,0.853333333,75,5601.830869,33,42,0.44,21,9,0.7,30,9942.673701,25,5,0.833333333,36.82379551,15544.50457
,O,O,U,CCIA15:UCCIA1h:OCCIA1d:O,34,8,0.80952381,42,2742.077801,18,24,0.428571429,14,2,0.875,16,4951.374145,12,4,0.75,18.22522551,7693.451946
,U,IU,IL,CCIA15:ILCCIA1h:IUCCIA1d:U,28,3,0.903225806,31,7269.850629,16,15,0.516129032,11,5,0.6875,16,9721.195105,13,3,0.8125,40.25054583,16991.04573
,IU,O,IL,CCIA15:ILCCIA1h:OCCIA1d:IU,38,7,0.844444444,45,7360.740586,27,18,0.6,14,6,0.7,20,8204.839295,18,2,0.9,36.87372138,15565.57988
,U,U,IL,CCIA15:ILCCIA1h:UCCIA1d:U,3,9,0.25,12,1713.920058,7,5,0.583333333,3,8,0.272727273,11,4962.732231,9,2,0.818181818,15.81650142,6676.652289
,IL,U,IU,CCIA15:IUCCIA1h:UCCIA1d:IL,16,6,0.727272727,22,4506.780803,16,6,0.727272727,6,7,0.461538462,13,5495.054665,12,1,0.923076923,23.6936174,10001.83547
,IU,O,U,CCIA15:UCCIA1h:OCCIA1d:IU,17,0,1,17,1770.391659,11,6,0.647058824,10,1,0.909090909,11,3163.277333,11,0,1,11.68750135,4933.668993
,O,U,IU,CCIA15:IUCCIA1h:UCCIA1d:O,8,1,0.888888889,9,1425,6,3,0.666666667,6,6,0.5,12,4884.342219,12,0,1,14.9463707,6309.342219
,O,U,O,CCIA15:OCCIA1h:UCCIA1d:O,0,2,0,2,725,2,0,1,1,3,0.25,4,1347.405788,4,0,1,4.909377885,2072.405788
,IL,O,U,CCIA15:UCCIA1h:OCCIA1d:IL,0,2,0,2,1187.5,2,0,1,1,2,0.333333333,3,1441.26012,3,0,1,6.227340643,2628.76012
,IU,U,O,CCIA15:OCCIA1h:UCCIA1d:IU,1,7,0.125,8,719.4280125,4,4,0.5,1,2,0.333333333,3,1977.397449,3,0,1,6.388582465,2696.825461
,O,O,IL,CCIA15:ILCCIA1h:OCCIA1d:O,3,0,1,3,290.9224244,2,1,0.666666667,9,1,0.9,10,1898.144414,6,4,0.6,5.185739389,2189.066839
,U,U,IU,CCIA15:IUCCIA1h:UCCIA1d:U,1,2,0.333333333,3,2050,3,0,1,1,2,0.333333333,3,2050,3,0,1,9.712600418,4100
,U,O,IL,CCIA15:ILCCIA1h:OCCIA1d:U,1,3,0.25,4,3131.25375,4,0,1,3,3,0.5,6,4006.25375,6,0,1,16.90823374,7137.507499
,U,U,O,CCIA15:OCCIA1h:UCCIA1d:U,0,1,0,1,875.255346,1,0,1,0,1,0,1,875.255346,1,0,1,4.146831922,1750.510692
